122,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Radio version] – 3:45","European maxi CD"
123,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Extended version] – 6:02","European maxi CD"
124,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Earthbound Late Show Remix] – 5:04","European maxi CD"
125,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,""A*Teens Medley" [Pierre J's Full Length Mix] – 8:19","European maxi CD"
126,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Radio version] – 3:45","Mexican CD single"
127,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Spanish version] – 3:43","Mexican CD single"
128,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Radio version] – 3:45","Japanese maxi CD"
129,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,""A*Teens Medley" [Pierre J's Radio Mix] – 3:54","Japanese maxi CD"
130,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,""Mamma Mia" [Spanish version] – 3:46","Japanese maxi CD"
131,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Spanish version] – 3:43","Japanese maxi CD"
132,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Radio version] – 3:45","1 Track CD'"
133,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"(A Man After Midnight)" – 3:30","CD single"
134,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,""Brigitte Bardot" (remix edit) by Jean-Pascal Lacoste – 3:01","CD single"
135,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"(A Man After Midnight)" – 4:11","Track listingDigital download"
136,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"(A Man After Midnight) [Extended Mix]" – 7:25","(A Man After Midnight) [Extended Mix] – Single"
137,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"(A Man After Midnight) [Extended Mix]" – 7:25","(A Man After Midnight) [Midnight Mixes]"
